Element Symbol,symmetry,volume,Compounds
Na,P6_3/mmc,73.87639201807406,"['NaP7', 'NaHg3', 'NaPt2', 'NaEu3', 'NaO8', 'NaC', 'NaMg', 'NaHg', 'NaRu3', 'NaP', 'NaCo3', 'NaCl7', 'NaTe', 'NaMg15', 'NaSr3', 'NaDy3', 'NaSc3', 'Rb3Na', 'NaNd3', 'NaNb3', 'NaNp3', 'NaN3', 'NaBr', 'NaGe', 'NaF', 'NaTm', 'NaI', 'NaLi3', 'Na', 'NaSi', 'NaRe3', 'NaP15', 'NaYb3', 'NaC2', 'NaY3', 'NaZn3', 'NaSe2', 'NaTl', 'NaHo3', 'NaAc3', 'NaMg149', 'NaCu3', 'NaAu2', 'NaPt', 'NaSn', 'NaH', 'NaCu', 'NaSb', 'NaTl2', 'NaTe3', 'NaC64', 'NaAg2', 'NaSn5', 'NaB', 'NaGa3', 'NaBi', 'NaGd3', 'NaIn3', 'NaHg2', 'NaMo3', 'Ba3Na', 'NaS', 'BaNa', 'NaAs', 'NaF3', 'NaGa4', 'K3Na', 'NaLa3', 'NaN', 'NaGa', 'NaMg3', 'NaCd3', 'NaMg7', 'NaEr3', 'NaCl3', 'NaTm3', 'NaTi3', 'NaLa', 'NaSi68', 'NaAc', 'NaP5', 'NaPd3', 'NaAu3', 'NaTc3', 'NaSi34', 'NaO5', 'NaSn2', 'NaCe3', 'NaZn13', 'NaIn2', 'NaO3', 'NaSi6', 'NaO2', 'NaPu', 'NaCa3', 'NaS2', 'NaIn', 'NaLu3', 'NaPr3', 'NaTl3', 'NaSn3', 'NaBi3', 'NaCl', 'NaTa3', 'NaPm3', 'NaSe', 'NaAl3', 'NaTb3', 'NaPb', 'NaAg3', 'NaPb3', 'NaAs2', 'NaNi3']"
Mg,P6_3/mmc,44.79899633535127,"['MgF2', 'MgPb2', 'La2Mg', 'MgSi2', 'MgZn', 'MgBi2', 'MgZn5', 'MgIn', 'MgO', 'MgZn2', 'YMg', 'CaMg', 'MgAg2', 'MgAu2', 'MgPb', 'MgCl2', 'MgSc2', 'MgTi2', 'LiMg', 'Ce2Mg', 'Ac2Mg', 'MgPt2', 'CeMg', 'MgO2', 'Rb2Mg', 'Ca2Mg', 'MgSn', 'Li2Mg', 'MgTi', 'Sm2Mg', 'MgSb2', 'Sr5Mg', 'Yb2Mg', 'MgIn2', 'MgGa2', 'MgGe', 'Mg', 'Nd2Mg', 'MgSn2', 'MgSb', 'MgGa', 'MgCd2', 'MgNb2', 'Sr2Mg', 'MgAl', 'MgNi', 'Y2Mg', 'Pr2Mg', 'Eu2Mg', 'Pm2Mg', 'SrMg', 'MgHg2', 'MgSi', 'MgBi', 'MgGe2', 'MgCd']"
Al,Fm-3m,16.471717630914863,"['AlFe3', 'Pm3Al', 'AlPt', 'CeAl', 'Tm3Al', 'Hf3Al', 'AlCd3', 'AlBr3', 'Sc2Al', 'ScAl', 'AlRh3', 'Ti2Al', 'PrAl', 'AlPb3', 'TbAl', 'AlRe', 'AlO3', 'Sm3Al', 'AlCu4', 'GdAl', 'AlFe2', 'AlSb', 'Tb3Al', 'AlCo4', 'Zr3Al', 'RbAl', 'Yb3Al', 'Li3Al', 'MnAl', 'AlGa3', 'AlBi3', 'Mg149Al', 'Gd3Al', 'AlCo', 'AlCr2', 'DyAl', 'AlO', 'AlN', 'AlPd', 'La3Al', 'AlSn', 'AlH3', 'AlCu3', 'AlPt3', 'AlNi3', 'AlBi', 'Rb3Al', 'AlAu', 'Sr2Al', 'AlP', 'Pa3Al', 'MgAl', 'AlB2', 'Dy3Al', 'NdAl', 'SrAl', 'LiAl', 'Y3Al', 'Pr3Al', 'AlH6', 'AlCu', 'AlCl3', 'AlAs', 'K3Al', 'Ce3Al', 'Ta2Al', 'AlC6', 'Mg3Al', 'AlAg3', 'AlGe3', 'Zr2Al', 'AlTc3', 'Pu3Al', 'AlC3', 'Al', 'AlNi', 'Sc3Al', 'AlAu2', 'Mg15Al', 'Nb3Al', 'AlRu', 'AlMo3', 'AlTc2', 'AlCo3', 'Np3Al', 'AlPd3', 'Mg7Al', 'Hf2Al', 'AlV3', 'Nb2Al', 'AlAu4', 'Lu3Al', 'YAl', 'AlSi', 'AlOs', 'SmAl', 'TiAl', 'AlNi2', 'AlF3', 'AlRe2', 'Th2Al', 'AlRh', 'AlI3', 'AlAg4', 'Nd3Al', 'Ti3Al', 'AlFe', 'AlIr', 'AlAu3', 'AlAg']"
Si,Fd-3m,40.32952684741405,"['SiHg3', 'BaSi', 'Mg2Si', 'Mn3Si', 'SiRh', 'Lu3Si', 'SiS2', 'Fe3Si', 'Fe2Si', 'Cu3Si', 'SiH8', 'SiBr3', 'SiC2', 'Rb3Si', 'SiAs', 'U3Si', 'SiPb3', 'SiRh3', 'SiSe2', 'SiS4', 'SiO2', 'Be3Si', 'SiC3', 'SiPt2', 'SiAs3', 'Tl3Si', 'SiGe3', 'Zn3Si', 'MgSi', 'SiH2', 'SiPt3', 'SiO4', 'Si']"
P,P2/c,1935.1232668474006,"['Ga3P', 'Zn3P', 'LiP', 'Cu3P', 'PF5', 'PPb3', 'Ho3P', 'NaP', 'RbP', 'TiP', 'HfP', 'Cr2P', 'Mg2P', 'PO4', 'CoP', 'Sc3P', 'KP', 'PN2', 'GaP', 'CaP', 'Ag3P', 'NdP', 'Na3P', 'PW', 'PBr7', 'GeP', 'PI2', 'PRu', 'Mg149P', 'Cd3P', 'PPd6', 'Re2P', 'V2P', 'Mo3P', 'DyP', 'EuP', 'TlP', 'AsP', 'UP', 'CrP', 'PPb', 'NpP', 'Mn2P', 'PH3', 'Hg3P', 'Ti2P', 'Co2P', 'ScP', 'Mo12P', 'AlP', 'Ta3P', 'PBr5', 'Bi3P', 'Fe2P', 'Np3P', 'PBr', 'GdP', 'PPt', 'InP', 'Ge3P', 'Cd2P', 'Sn3P', 'B6P', 'PSe', 'Zn2P', 'PuP', 'PW3', 'BP', 'PCl5', 'Si3P', 'PO3', 'PRu2', 'MgP', 'Eu3P', 'B13P', 'P', 'ErP', 'NbP', 'ZrP', 'Rb2P', 'PPd4', 'TaP', 'K3P', 'LaP', 'HoP', 'PrP', 'FeP', 'PBr3', 'Fe4P', 'PCl3', 'Ni2P', 'Li3P', 'YP', 'SiP', 'Hf2P', 'Sr3P', 'Tm3P', 'PIr2', 'ZnP', 'PPt3', 'PS', 'PBr2', 'MoP', 'Er3P', 'PAu3', 'TmP', 'Rb3P', 'Al3P', 'Y3P', 'ThP', 'Yb3P', 'PRh2', 'CeP', 'SmP', 'MnP', 'VP', 'SnP', 'NiP', 'LuP', 'PPd3', 'Nb2P', 'PI3', 'PO2', 'TbP', 'Ta2P', 'SrP']"
S,Fddd,887.5956414230244,"['LaS', 'SN', 'PbS', 'CoS', 'AsS', 'CS', 'V3S', 'PS', 'FeS', 'LiS', 'YS', 'P2S', 'BiS', 'SO6', 'NaS', 'SO5', 'SmS', 'Ni3S', 'HoS', 'Th3S', 'SO4', 'Cd2S', 'CdS', 'Bi2S', 'H2S', 'ZnS', 'SF6', 'RbS', 'Pd4S', 'CeS', 'EuS', 'SO3', 'H3S', 'Tl2S', 'InS', 'SBr3', 'Ni2S', 'TlS', 'Ta6S', 'Tl3S', 'Ag2S', 'S', 'PtS', 'Li2S', 'ZrS', 'CuS', 'SF4', 'PmS', 'KS', 'Cu2S', 'As2S', 'HgS']"
Cl,,,"['AgClO2', 'CNCl', 'LaClO', 'CCl', 'YCl', 'OsClF8', 'CaHCl', 'NCl', 'LaTeCl', 'HoClO2', 'Na2Cl', 'SeCl', 'NiCl', 'In5S5Cl', 'Pt3Cl', 'In5Se5Cl', 'LaClO2', 'Cs2BrCl', 'PbClF', 'Ba2P7Cl', 'SmClO2', 'U3Cl', 'TeRhCl', 'C3NCl', 'Cl(OF)2', 'Eu2PCl', 'BCl', 'SmClO', 'Tl4Br3Cl', 'GdClO', 'ClO5', 'TlCl', 'DyClO2', 'PuClO', 'N4Cl', 'ICl', 'ClF5', 'SrHCl', 'ZrCl', 'HCl', 'CsClO3', 'Te2Cl', 'PrTeCl', 'ClF3', 'AuCl', 'CrCl', 'ClO', 'PrClO2', 'CuClO2', 'AuClO2', 'AgCl', 'CeClO', 'PdSCl', 'Na3Cl', 'H7ClO3', 'Ru3Cl', 'ScCl', 'Hg3Cl', 'Ce3Cl', 'SrClF', 'HgCl', 'CuCl', 'UNCl', 'CaClF', 'H5ClO6', 'GdClO2', 'CN6Cl', 'NdClO2', 'Os3Cl', 'Nd3Cl', 'PuCl', 'SCl', 'C9Cl', 'ErClO', 'FeCl', 'CsCl', 'EuClO2', 'Sb4ClO6', 'ClF', 'BrCl', 'SnCl', 'InCl', 'EuHCl', 'LiCl', 'Ac3Cl', 'S3Cl', 'PrClO', 'NaClO4', 'C16Cl', 'Au3Cl', 'YClO2', 'AgClO4', 'YClO', 'Pr3Cl', 'GdCl', 'RbCl', 'Cu3Cl', 'Ag3Cl', 'TbClO2', 'SNCl', 'YCCl', 'Mg16Al12Cl', 'Cu2ClO3', 'CuSCl', 'NClO2', 'KCl', 'KClO3', 'Bi3ClO4', 'In3Cl', 'Mg149Cl', 'LaCl', 'ClO6', 'ClO2', 'La3Cl', 'H3NCl', 'CeTeCl', 'Th3Cl', 'NdClO', 'TbCl', 'NaCl', 'NdTeCl', 'BaHCl', 'BaClF', 'ThNCl', 'Tl3Cl', 'N3Cl', 'ClO3', 'Y2ClO2', 'BiClO', 'Co3Cl', 'BaClO3', 'N2Cl', 'Zr3Cl', 'ThCl', 'BaN3Cl', 'NaClO3']"
Ar,Fm-3m,38.56579000820011,['Ar']
K,Cmce,612.2311625848381,"['KTh3', 'KHg3', 'KC8', 'KTe', 'KF3', 'KPr3', 'KP', 'CsK', 'KSb3', 'Cs3K', 'KCd3', 'KN3', 'KPu', 'KSb', 'KPm3', 'KNd3', 'KAu2', 'KPt', 'KN', 'KBi2F7', 'KMg7', 'KO3', 'KSe', 'KSn2', 'KPb3', 'KFe', 'KCo', 'KTl3', 'KH', 'KBr3', 'KCu7S4', 'KO2', 'KTm', 'KN2', 'KSe3', 'KPt3', 'KCe3', 'KF5', 'KLi3', 'KSb2', 'KNO3', 'KHg', 'KC60', 'KY', 'KC10', 'KGa', 'KSm3', 'KP15', 'KB', 'KMg3', 'KBr', 'KZn13', 'KTe3', 'KEu3', 'KCa3', 'KAu5', 'KF2', 'KIO3', 'KSn3', 'KF', 'KC2', 'KAg2', 'KPb2', 'KLu', 'KBi3', 'KU3', 'KI', 'KIn3', 'KSi', 'KMg15', 'KGa3', 'KCl3', 'KBi', 'K', 'KB6', 'KNa2', 'KNd', 'KCl', 'KHg6', 'KSn', 'KSm', 'KGe', 'KLa3', 'KPm', 'KPb', 'KBi2', 'KTl', 'KBa3', 'KYb3', 'KIn4', 'KC', 'KCd13', 'KHg11', 'KTl2', 'KH3', 'KRb3', 'KAs', 'KHg2', 'KS3', 'KSr3', 'KCN', 'KAc3', 'KS']"
Ca,Fm-3m,43.36096382607296,"['CaP3', 'CaNd3', 'CaBi3', 'CaNp', 'CaMg', 'CaZn3', 'CaAg3', 'CaLa', 'CaYb3', 'CaCd3', 'CaPt5', 'CaP', 'CaPm3', 'CaSi2', 'Cs3Ca', 'Li3Ca', 'CaAl4', 'CaHg', 'CaAs3', 'CaB4', 'CaAu5', 'CaZn11', 'CaZn2', 'CaHo3', 'CaC2', 'CaO10', 'CaN', 'CaPb', 'CaI2', 'CaH2', 'CaTe', 'CaC6', 'CaHg2', 'CaSb2', 'SrCa', 'CaMg7', 'CaCu5', 'CaOs3', 'CaMn28', 'CaBr', 'CaGa2', 'CaNi3', 'CaPb3', 'CaBr2', 'CaN2', 'CaB6', 'CaCd', 'CaPd2', 'CaHg3', 'Rb3Ca', 'CaMg3', 'CaSi3', 'CaPd5', 'CaPd', 'CaMg15', 'CaAc3', 'CaIn', 'CaIn2', 'CaF3', 'CaSm3', 'CaB2', 'CaMg149', 'CaSn3', 'CaF', 'CaAs', 'CaDy3', 'CaNi5', 'Ba3Ca', 'CaMg2', 'CaCd2', 'Na3Ca', 'Sr3Ca', 'CaTl3', 'CaCl2', 'K3Ca', 'CaPr3', 'CaNi', 'CaEu3', 'CaTb3', 'CaH3', 'CaTl', 'BaCa', 'CaGa4', 'CaC', 'CaO2', 'CaS', 'CaGe3', 'CaPt2', 'Ca', 'CaCu', 'CaO', 'Li2Ca', 'CaGe2', 'CaHg11', 'CaC4', 'CaSe', 'CaAu3', 'CaF2', 'CaZn5', 'CaZn', 'CaI', 'CaMg5']"
Sc,P6_3/mmc,50.02447391787033,"['ScCu2', 'ScBr2', 'ScZn', 'ScC2', 'Ho3Sc', 'MgSc', 'ScAg4', 'ScRu2', 'ScPt', 'ScSn2', 'La3Sc', 'ScCl3', 'ScB2', 'K3Sc', 'Mg149Sc', 'ScAl', 'ScHg3', 'ScSb', 'ScRu', 'ScC', 'ScO', 'ScSe', 'ScIr2', 'Hf3Sc', 'Mg2Sc', 'ScIr3', 'ScS', 'ScH2', 'Sc(NF2)3', 'Tm3Sc', 'ScB12', 'Er3ScS6', 'Li3Sc', 'ScOs3', 'Mg5Sc', 'ScIn3P4', 'ScZn6', 'Zr9ScO20', 'ScTc3', 'ScOs2', 'ScIr', 'YSc', 'ScPd3', 'ScRu3', 'ScI3', 'ScIn2', 'ScHg', 'TbSc', 'ScNb', 'ScPd', 'ScCo2', 'ScTe3', 'ScZn12', 'ScBi', 'ScI2', 'ScP', 'ScH3', 'ScFe2', 'Ac3Sc', 'ScPb3', 'ScCl', 'ScAg', 'Lu3Sc', 'ScMn2', 'ScFe3', 'ScBr3', 'Nd3Sc', 'Sr3Sc', 'ScS2', 'Mg7Sc', 'Mg4Sc', 'ScCd', 'ScRh3', 'ScO3', 'ScSe2', 'ScAg3', 'ScGa3', 'ScSi', 'Pm3Sc', 'ScTc2', 'Zr3Sc', 'ScGe2', 'ScAu4', 'ScRh', 'ScZn2', 'ScAl2', 'HfSc', 'Mg3Sc', 'Pu3Sc', 'ScNi', 'Pr3Sc', 'ScSi2', 'ScBi3', 'ScSb3', 'Sm3Sc', 'ScAs', 'ThSc', 'ScBe5', 'ScAl3', 'ScN', 'ScO2', 'ScCu', 'ScIn3', 'Tb3Sc', 'ScSn', 'ScNi3', 'ScNi5', 'ScMo3O8', 'ScGa', 'ScInP2', 'Ce3Sc', 'Hf5Sc', 'ScGe', 'ScHO2', 'ScPt3', 'ScAu3', 'ScRe2', 'ScCo', 'ScAu', 'ScSn3', 'ScTe', 'ScIn', 'ScAg2', 'Na3Sc', 'ScCu3', 'ScF3', 'ScBe13', 'ScCd7', 'Sc', 'ScGa2', 'Yb3Sc', 'ZrSc', 'ScCd3', 'ScZn3', 'ScAu2', 'ScNi2']"
