Element Symbol,symmetry,volume,Compounds
H,,,"['Ta2H', 'PmH', 'Ca2HCl2', 'VH', 'BH', 'HPb', 'CoHO2', 'HN', 'CuH', 'ZrH', 'YbHO2', 'LiHO2', 'RbHO', 'KHS', 'SmHO2', 'Re3H', 'RbHS', 'Ti2H', 'AgH', 'HIr', 'HPt3', 'Ti2HPd', 'TbHO2', 'MgH', 'Ba2HCl2', 'Tc3H', 'MnH', 'Al3H', 'MgNiH', 'H(CO)2', 'HRh', 'H(WO3)4', 'Pu3H', 'HCl', 'NaHS', 'HBr', 'NaH', 'HF', 'Ca2HI2', 'Fe3H', 'Ge3H', 'P3H', 'Sr2HCl2', 'KH', 'Sr2HBr2', 'Ni3H', 'HI', 'GaHO2', 'Sr2HI2', 'Tl3H', 'EuHO3', 'V2H', 'YHO2', 'Np3H', 'NiH', 'HC6', 'Cr3H', 'MoH', 'HNF2', 'HCN', 'Ba2HBr2', 'Mn2HO4', 'HC3', 'Ni2H', 'LiH', 'ZnH', 'HCO', 'BeH', 'Si3H', 'HPd3', 'TlH', 'Ba3H', 'HAuO2', 'Mo2HO6', 'CuHO2', 'LaHO2', 'NbH', 'CrH', 'Eu3H', 'ErHO2', 'Cr2HO4', 'Zr2HBr2', 'HC2N3', 'Ba2HI2', 'CoH', 'LiHPd', 'HW', 'FeHO2', 'Yb3H', 'NbHO3', 'Eu2HCl2', 'Y3H', 'HPd', 'VHO3', 'PrH', 'Co4H', 'HC2', 'FeH', 'Mo3H', 'Mg149H', 'ErH', 'Sr3H', 'HOs3', 'Na2HF4', 'LiHF2', 'CsH', 'ScHO2', 'GaH', 'HI3', 'TiH', 'AlHO2', 'CaHN', 'Co3H', 'GdHO2', 'HW3', 'Pa3H', 'RbH', 'Cr3HO8', 'CdH', 'MnHO2', 'HC', 'HoHO2', 'NaHO', 'TlHO', 'InH', 'Ca2HBr2', 'SiH']"
He,Im-3m,17.293960273317424,"['He', 'HeSiO2']"
Li,R-3m,61.205660097660434,"['LiN', 'LiCa3', 'LiB', 'LiP', 'LiBr', 'LiPm3', 'LiMg7', 'LiLu3', 'LiGa2', 'LiTe3', 'LiGa3', 'LiYb3', 'LiMg', 'LiPa', 'LiIn2', 'LiTm3', 'LiSi3', 'LiPd7', 'LiI', 'LiGe', 'LiB9', 'LiP7', 'Sr3Li', 'LiHo3', 'LiF3', 'LiHg3', 'LiAc3', 'LiO2', 'LiPb3', 'Rb3Li', 'LiSb3', 'LiRe3', 'LiZn2', 'LiHf', 'LiN3', 'LiSn3', 'LiNi3', 'LiPd', 'LiRh', 'LiMg2', 'LiZn3', 'LiDy3', 'LiZn13', 'LiGd3', 'LiCd3', 'LiAg3', 'LiW3', 'LiAl', 'LiPt', 'LiIr', 'LiPr3', 'LiY3', 'LiAs', 'LiTl3', 'LiH', 'LiMg149', 'LiB3', 'LiRh3', 'LiBi', 'LiPu3', 'LiMg15', 'LiPd3', 'LiCu3', 'LiCl', 'LiHg', 'LiAl3', 'LiSn', 'LiPb', 'LiS4', 'LiPt3', 'LiTb3', 'LiCa4', 'LiPt7', 'LiAu3', 'LiC6', 'LiAs3', 'LiNp3', 'LiMg3', 'LiTl', 'LiP3', 'LiEu3', 'K3Li', 'LiAg', 'LiS', 'LiC12', 'LiEr3', 'LiB11', 'LiU', 'LiGe3', 'LiCe3', 'Ba3Li', 'LiSm3', 'LiO8', 'LiF', 'LiMg5', 'LiIn3', 'Li', 'LiAu', 'LiBe', 'LiLa3', 'LiMn', 'LiAl2']"
Be,P6_3/mmc,31.796370288803224,"['BeSO8', 'BeAg3', 'BeZn3S4', 'K4BeAs2', 'K3BeF5', 'NaBeAs', 'BeNi3', 'BeZnO2', 'Mn3Be', 'BeP2', 'LiBeB', 'BeNF3', 'Be(HO)2', 'ZrBeSi', 'HfBe', 'NdBeCu4', 'LaBeAl3', 'Cs2BeO2', 'TiBe', 'LiBeAs', 'TmBeCu4', 'NaBeO2', 'BeCu', 'K4BeP2', 'Ta4Be', 'K3Be', 'Na2BeF4', 'SrBeF4', 'BeB2', 'BeAlH5', 'BeZn13', 'BeAl3', 'BeAu3', 'BeO', 'BeAl6O10', 'BeF2', 'Ti3Be', 'BePd2', 'BeNb4', 'Li2BeF4', 'BeClO', 'K2BeO2', 'NaBeSb', 'Hf3Be', 'Ti4Be', 'SrBeGe', 'Np3Be', 'LiBeH3', 'Be', 'Th3Be', 'LiBeSb', 'CaBeGe', 'BeCo2Si', 'Be(B6C)2', 'BeMo3', 'BeAu', 'BeZn3O4', 'YBeCu4', 'BeC2', 'SmBeCu4', 'SrBeSi', 'BeSiAs2', 'BePb3', 'CsBeH3', 'BeGaH5', 'Be(PN2)2', 'Mg16BeAl12', 'ZrBeB', 'Be(H2N)2', 'Be(CN)2', 'BeO2', 'BeSiN2', 'BeGe3', 'BePd', 'Be(Bi3O5)4', 'Na2BeH4', 'BeCrO4', 'BeCo2Ge', 'LiBeP', 'Li2BeH4', 'HfBeSi', 'BeH', 'Zr3Be', 'BeAg4', 'Na2BeO2', 'KBeF3', 'Ti11BeO20', 'BePd3', 'BeSnP2', 'Be(B3H7)2', 'BeNi', 'Mg149Be', 'BeSe', 'BeH2', 'BeFe3', 'BeGeP2', 'Na6BeO4', 'BeZnS2', 'BeRu3', 'BeF4', 'Ta2Be', 'BeSiP2', 'DyBeCu4', 'BeTe', 'BeIn3', 'BeSiNi2', 'LiBeN', 'Be(BH4)2', 'BeCN2', 'BeAu2', 'Li2BeAs2', 'TiBeB', 'KBeH3', 'BeRh', 'Be(PO3)2', 'BeGeAs2', 'BeBr2', 'BaBeSi', 'Be(B3H8)2', 'Li3Be', 'TaBeB', 'Be(N3O7)2', 'BeCl2', 'CeBeAl3', 'Be(BO2)4', 'TbBeCu4', 'Na3Be', 'Be(GaO2)2', 'LiBe', 'BeCo', 'BeCr3', 'BeS', 'HoBeCu4', 'BeI2', 'CaBeSi', 'BeSnAs2', 'RbBeH3', 'BeGa3']"
B,R-3m,86.74916330018324,"['BF3', 'LiB', 'BH', 'BRu3', 'CoB', 'BPd4', 'BC7', 'BRu', 'In3B', 'GeB', 'Sn3B', 'Mg3B', 'TiB', 'BI3', 'PuB', 'MnB', 'BSb', 'BCl', 'TaB', 'NbB', 'Co4B', 'BCl2', 'Mg15B', 'Be2B', 'BCl3', 'Ta2B', 'BPb3', 'BC3', 'VB', 'Cr2B', 'BRh', 'BOs', 'BN', 'Th3B', 'BC5', 'BOs3', 'BPt3', 'BAs', 'Be4B', 'Mn2B', 'TcB', 'Np3B', 'FeB', 'BPd3', 'Ti2B', 'BBr3', 'NaB', 'BPd5', 'BF2', 'SnB', 'BP', 'Si3B', 'BC', 'KB', 'Fe3B', 'Ge3B', 'BBr', 'BO3', 'Co3B', 'BMo2', 'Ni3B', 'Ni2B', 'Tl3B', 'HfB', 'Tc3B', 'BPd2', 'Zn3B', 'RbB', 'B', 'BH3', 'BW2', 'Cr4B', 'CsB', 'BIr', 'BiB', 'BAu', 'BPd6', 'BRh2', 'BMo', 'Co2B', 'Na3B', 'Re3B', 'ReB', 'BSe2', 'Hg3B', 'SiB', 'BPt', 'BAu3', 'BS2', 'Mn4B', 'CrB', 'ZrB', 'Li2B', 'NiB', 'Mg7B', 'BW', 'Li3B', 'Cd3B', 'Fe2B', 'BPt2', 'Ga3B']"
C,C2/m,18.32977894194205,"['CF4', 'Th5C', 'CS', 'CO3', 'NaC', 'ReC', 'CI2', 'CdC', 'CS30', 'InC', 'CCl2', 'Tm2C', 'Mg15C', 'Fe3C', 'WC', 'GaC', 'MoC', 'Cr2C', 'Ni3C', 'HfC', 'TaC', 'SiC', 'OsC', 'Dy2C', 'Tb2C', 'Mo2C', 'Sc2C', 'CN', 'Fe2C', 'C', 'Gd2C', 'Zr3C', 'CrC', 'PtC', 'Mg7C', 'CS14', 'BC', 'NbC', 'Ti2C', 'CS3', 'AgC', 'Lu2C', 'ZrC', 'CI4', 'CN2', 'CBr4', 'Hg3C', 'TlC', 'GeC', 'CF', 'V2C', 'Nb2C', 'IrC', 'B4C', 'Yb2C', 'CO', 'HgC', 'B9C', 'Zn3C', 'Hf3C', 'Mg3C', 'CCl4', 'W3C', 'CO2', 'AuC', 'Sm2C', 'K4C', 'Fe4C', 'Ta2C', 'LaC', 'Ho2C', 'Ta3C', 'W2C', 'KC', 'Rb4C', 'HC', 'RuC', 'PbC', 'Er2C', 'Y2C', 'Tc3C']"
N,,,"['LiN', 'Ti3N', 'TiN', 'NO', 'HN', 'Cu3N', 'ZrN', 'Pd3N', 'Mo2N', 'Cu2N', 'Ta2N', 'Hf2N', 'Zr2N', 'GaN', 'Fe2N', 'Na3N', 'LaN', 'AcN', 'BrN', 'V2N', 'Eu2N', 'SN', 'KN', 'CdN', 'SeN', 'BN', 'AlN', 'PbN', 'MoN', 'Fe3N', 'TcN', 'TaN', 'OsN', 'Re3N', 'Sr2N', 'Ti2N', 'Ca2N', 'B9N', 'NF2', 'Fe4N', 'TlN', 'CN', 'Co3N', 'HgN', 'Ag3N', 'Pd2N', 'Tc3N', 'CuN', 'NO2', 'Nb2N', 'SrN', 'Zr3N', 'C3N', 'CrN', 'VN', 'PrN', 'NO3', 'NbN', 'RuN', 'YN', 'RhN', 'AgN', 'PdN', 'MnN', 'Ni3N', 'NiN', 'Cr2N', 'Fe8N', 'W2N', 'Zn3N', 'Mn2N', 'FeN', 'S2N', 'NF', 'Ta3N', 'WN', 'IrN', 'V8N', 'InN', 'ZnN', 'SbN', 'Ba2N', 'ReN']"
O,,,"['Zr2O', 'OF', 'CO', 'B8O', 'K2O', 'VO', 'PtO', 'MgO', 'NO', 'BrO', 'BiO', 'Si3O', 'Ti2O', 'CdO', 'SnO', 'Al2O', 'ZnO', 'NbO', 'Ag3O', 'CuO', 'Th3O', 'Cs2O', 'SiO', 'GaO', 'Cs7O', 'Ag2O', 'TiO', 'Rb2O', 'Sm2O', 'CaO', 'Ta4O', 'FeO', 'CoO', 'Ta6O', 'Ti3O', 'BaO', 'B6O', 'NiO', 'Cr3O', 'ClO', 'Tl2O', 'PbO', 'MnO', 'Zr3O', 'Na2O', 'PdO', 'CrO', 'N2O', 'H2O', 'Zr4O', 'InO', 'Li2O', 'Sn2O', 'Ge3O', 'B2O', 'HgO', 'Cl2O', 'Rb6O', 'OF3', 'AgO', 'Cs3O', 'BeO', 'V8O', 'Ti6O']"
F,,,"['YSeF', 'Fe2O3F', 'Si3F', 'Sr2I2F', 'MnOF', 'Hg3F', 'Re3F', 'Sm2F', 'Pt3F', 'Bi5O7F', 'V3F', 'NiOF', 'V6O11F', 'Eu2Br2F', 'NaF', 'Fe10O19F', 'InOF', 'Fe3O5F', 'Tm2I2F', 'Ba2Cl2F', 'Mn4O7F', 'Pr2S2F', 'Sm2I2F', 'Rh3F', 'Ho2S2F', 'YbF', 'HgF', 'Ca2F', 'Mn2O3F', 'Co2O3F', 'Y2OF', 'Ir3F', 'Tl3F', 'Mn6O11F', 'Sb5O7F', 'VO2F', 'FeOF', 'HF', 'Mn5O9F', 'CrOF', 'TbOF', 'Sr2Br2F', 'Co3O5F', 'Ca10Si6F', 'TlF', 'Ba2Br2F', 'Eu2Cl2F', 'Pr2Se2F', 'CuF', 'CoOF', 'AgO2F', 'AgF', 'N2F', 'SrF', 'Ru3F', 'Ca10Ge6F', 'Os3F', 'V2O3F', 'Tb2S2F', 'RbF', 'Y2S2F', 'Yb2I2F', 'Sr2Cl2F', 'CaF', 'ClF', 'Er2S2F', 'Dy2S2F', 'TiNF', 'Ba2I2F', 'Ag3F', 'Fe6O11F', 'Ca2Br2F', 'RbO2F', 'KF', 'CsF', 'Fe4O7F', 'Fe3F', 'Ca2Cl2F', 'Sm2Se2F', 'SNF', 'Mn3O5F', 'C2F', 'VOF', 'CF', 'Sm2Br2F', 'Pd3F', 'OF', 'SbOF', 'Ag2F', 'NF', 'V3O5F', 'Bi3O4F', 'YOF', 'LiF', 'La2S2F', 'Cu3F', 'Sm2Cl2F', 'Ge3F', 'Nd2S2F', 'BiOF', 'LaF', 'Tm2Br2F', 'UF']"
Ne,Fm-3m,18.456187514358387,['Ne']
